case_id,block_id,role,control_id,topology_profile,routing_type,selector,path_rate_ratio,interarrival_gap_ns,pairing_seed,run_status,task_count,completed_task_count,mean_task_duration_us,p50_task_duration_us,p95_task_duration_us,mean_task_throughput_gbps,aggregate_task_goodput_gbps,branch_packet_counts,branch_byte_counts,unique_branch_ports,path_jain,max_path_share,detour_share,queue_max_bytes,empty_before_arrival_fraction,comparison_status,comparison_reason,p95_fct_delta_vs_control_pct,goodput_delta_vs_control_pct
as-r100-g1u-hash64,adaptive-single-packet-sparse,control,as-r100-g1u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,HASH64,1.0,1000,0,success,64,64,0.2311940000000008,0.23119400000000034,0.23119400000000212,35.4334,8.291603666380235,"{""1"": 17, ""2"": 30, ""3"": 17}","{""1"": 18734, ""2"": 33060, ""3"": 18734}",3,0.9237708615245828,0.46875,0.734375,2204,1.0,matched,Static-hash control completed with path and queue evidence.,0.0,0.0
as-r100-g1u-rr,adaptive-single-packet-sparse,treatment,as-r100-g1u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,ROUND_ROBIN,1.0,1000,0,success,64,64,0.2311940000000008,0.23119400000000034,0.23119400000000212,35.4334,8.291603666380235,"{""1"": 22, ""2"": 21, ""3"": 21}","{""1"": 24244, ""2"": 23142, ""3"": 23142}",3,0.9995119570522206,0.34375,0.65625,2204,1.0,matched,Round robin was checked for deterministic three-path spreading.,0.0,0.0
as-r100-g1u-adaptive,adaptive-single-packet-sparse,treatment,as-r100-g1u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,ADAPTIVE,1.0,1000,0,success,64,64,0.2311940000000008,0.23119400000000034,0.23119400000000212,35.4334,8.291603666380235,"{""1"": 64, ""2"": 0, ""3"": 0}","{""1"": 70528, ""2"": 0, ""3"": 0}",1,0.3333333333333333,1.0,0.0,2204,1.0,matched,Adaptive tie behavior was checked only after branch queues drained.,0.0,0.0
as-r100-g10u-hash64,adaptive-single-packet-sparse,control,as-r100-g10u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,HASH64,1.0,10000,0,success,64,64,0.2311940000000013,0.23119400000001633,0.23119400000001633,35.4334,0.8318978892054018,"{""1"": 17, ""2"": 30, ""3"": 17}","{""1"": 18734, ""2"": 33060, ""3"": 18734}",3,0.9237708615245828,0.46875,0.734375,2204,1.0,matched,Static-hash control completed with path and queue evidence.,0.0,0.0
as-r100-g10u-rr,adaptive-single-packet-sparse,treatment,as-r100-g10u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,ROUND_ROBIN,1.0,10000,0,success,64,64,0.2311940000000013,0.23119400000001633,0.23119400000001633,35.4334,0.8318978892054018,"{""1"": 22, ""2"": 21, ""3"": 21}","{""1"": 24244, ""2"": 23142, ""3"": 23142}",3,0.9995119570522206,0.34375,0.65625,2204,1.0,matched,Round robin was checked for deterministic three-path spreading.,0.0,0.0
as-r100-g10u-adaptive,adaptive-single-packet-sparse,treatment,as-r100-g10u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,ADAPTIVE,1.0,10000,0,success,64,64,0.2311940000000013,0.23119400000001633,0.23119400000001633,35.4334,0.8318978892054018,"{""1"": 64, ""2"": 0, ""3"": 0}","{""1"": 70528, ""2"": 0, ""3"": 0}",1,0.3333333333333333,1.0,0.0,2204,1.0,matched,Adaptive tie behavior was checked only after branch queues drained.,0.0,0.0
as-r100-g100u-hash64,adaptive-single-packet-sparse,control,as-r100-g100u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,HASH64,1.0,100000,0,success,64,64,0.23119399999996412,0.2311939999999595,0.23119400000001633,35.4334,0.08321726359808884,"{""1"": 17, ""2"": 30, ""3"": 17}","{""1"": 18734, ""2"": 33060, ""3"": 18734}",3,0.9237708615245828,0.46875,0.734375,2204,1.0,matched,Static-hash control completed with path and queue evidence.,0.0,0.0
as-r100-g100u-rr,adaptive-single-packet-sparse,treatment,as-r100-g100u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,ROUND_ROBIN,1.0,100000,0,success,64,64,0.23119399999996412,0.2311939999999595,0.23119400000001633,35.4334,0.08321726359808884,"{""1"": 22, ""2"": 21, ""3"": 21}","{""1"": 24244, ""2"": 23142, ""3"": 23142}",3,0.9995119570522206,0.34375,0.65625,2204,1.0,matched,Round robin was checked for deterministic three-path spreading.,0.0,0.0
as-r100-g100u-adaptive,adaptive-single-packet-sparse,treatment,as-r100-g100u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,ADAPTIVE,1.0,100000,0,success,64,64,0.23119399999996412,0.2311939999999595,0.23119400000001633,35.4334,0.08321726359808884,"{""1"": 64, ""2"": 0, ""3"": 0}","{""1"": 70528, ""2"": 0, ""3"": 0}",1,0.3333333333333333,1.0,0.0,2204,1.0,matched,Adaptive tie behavior was checked only after branch queues drained.,0.0,0.0
as-r50-g1u-hash64,adaptive-single-packet-sparse,control,as-r50-g1u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,HASH64,0.5,1000,0,success,64,64,0.24439900000000053,0.23119400000000212,0.2805939999999971,33.720275,8.291603666380235,"{""1"": 17, ""2"": 30, ""3"": 17}","{""1"": 18734, ""2"": 33060, ""3"": 18734}",3,0.9237708615245828,0.46875,0.734375,2204,1.0,matched,Static-hash control completed with path and queue evidence.,0.0,0.0
as-r50-g1u-rr,adaptive-single-packet-sparse,treatment,as-r50-g1u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,ROUND_ROBIN,0.5,1000,0,success,64,64,0.24824496875000054,0.23514800000000058,0.27706799999999987,33.2228984375,8.285592499323768,"{""1"": 22, ""2"": 21, ""3"": 21}","{""1"": 24244, ""2"": 23142, ""3"": 23142}",3,0.9995119570522206,0.34375,0.65625,2204,1.0,matched,Round robin was checked for deterministic three-path spreading.,-1.2566198849573724,-0.07249703794744373
as-r50-g1u-adaptive,adaptive-single-packet-sparse,treatment,as-r50-g1u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,ADAPTIVE,0.5,1000,0,success,64,64,0.2805939999999997,0.2805940000000007,0.2805940000000007,29.1952,8.28513082541545,"{""1"": 64, ""2"": 0, ""3"": 0}","{""1"": 70528, ""2"": 0, ""3"": 0}",1,0.3333333333333333,1.0,0.0,2204,1.0,matched,Adaptive tie behavior was checked only after branch queues drained.,1.2661402876756229e-12,-0.07806500678547604
as-r50-g10u-hash64,adaptive-single-packet-sparse,control,as-r50-g10u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,HASH64,0.5,10000,0,success,64,64,0.24439900000000753,0.23119400000001633,0.2805940000000078,33.720275,0.8318978892054018,"{""1"": 17, ""2"": 30, ""3"": 17}","{""1"": 18734, ""2"": 33060, ""3"": 18734}",3,0.9237708615245828,0.46875,0.734375,2204,1.0,matched,Static-hash control completed with path and queue evidence.,0.0,0.0
as-r50-g10u-rr,adaptive-single-packet-sparse,treatment,as-r50-g10u-hash64,micro-sparse,PER_PACKET_SHORTEST_PATHS,ROUND_ROBIN,0.5,10000,0,success,64,64,0.24824496874999546,0.23514799999998104,0.2770680000000141,33.2228984375,0.8318373404630993,"{""1"": 22, ""2"": 21, ""3"": 21}","{""1"": 24244, ""2"": 23142, ""3"": 23142}",3,0.9995119570522206,0.34375,0.65625,2204,1.0,matched,Round robin was checked for deterministic three-path spreading.,-1.2566198849560586,-0.007278386336605478
