taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,1024,URMA_WRITE,7,10ns,0,
1,0,1,1024,URMA_WRITE,7,1010ns,0,
2,0,1,1024,URMA_WRITE,7,2010ns,0,
3,0,1,1024,URMA_WRITE,7,3010ns,0,
4,0,1,1024,URMA_WRITE,7,4010ns,0,
5,0,1,1024,URMA_WRITE,7,5010ns,0,
6,0,1,1024,URMA_WRITE,7,6010ns,0,
7,0,1,1024,URMA_WRITE,7,7010ns,0,
8,0,1,1024,URMA_WRITE,7,8010ns,0,
9,0,1,1024,URMA_WRITE,7,9010ns,0,
10,0,1,1024,URMA_WRITE,7,10010ns,0,
11,0,1,1024,URMA_WRITE,7,11010ns,0,
12,0,1,1024,URMA_WRITE,7,12010ns,0,
13,0,1,1024,URMA_WRITE,7,13010ns,0,
14,0,1,1024,URMA_WRITE,7,14010ns,0,
15,0,1,1024,URMA_WRITE,7,15010ns,0,
16,0,1,1024,URMA_WRITE,7,16010ns,0,
17,0,1,1024,URMA_WRITE,7,17010ns,0,
18,0,1,1024,URMA_WRITE,7,18010ns,0,
19,0,1,1024,URMA_WRITE,7,19010ns,0,
20,0,1,1024,URMA_WRITE,7,20010ns,0,
21,0,1,1024,URMA_WRITE,7,21010ns,0,
22,0,1,1024,URMA_WRITE,7,22010ns,0,
23,0,1,1024,URMA_WRITE,7,23010ns,0,
24,0,1,1024,URMA_WRITE,7,24010ns,0,
25,0,1,1024,URMA_WRITE,7,25010ns,0,
26,0,1,1024,URMA_WRITE,7,26010ns,0,
27,0,1,1024,URMA_WRITE,7,27010ns,0,
28,0,1,1024,URMA_WRITE,7,28010ns,0,
29,0,1,1024,URMA_WRITE,7,29010ns,0,
30,0,1,1024,URMA_WRITE,7,30010ns,0,
31,0,1,1024,URMA_WRITE,7,31010ns,0,
32,0,1,1024,URMA_WRITE,7,32010ns,0,
33,0,1,1024,URMA_WRITE,7,33010ns,0,
34,0,1,1024,URMA_WRITE,7,34010ns,0,
35,0,1,1024,URMA_WRITE,7,35010ns,0,
36,0,1,1024,URMA_WRITE,7,36010ns,0,
37,0,1,1024,URMA_WRITE,7,37010ns,0,
38,0,1,1024,URMA_WRITE,7,38010ns,0,
39,0,1,1024,URMA_WRITE,7,39010ns,0,
40,0,1,1024,URMA_WRITE,7,40010ns,0,
41,0,1,1024,URMA_WRITE,7,41010ns,0,
42,0,1,1024,URMA_WRITE,7,42010ns,0,
43,0,1,1024,URMA_WRITE,7,43010ns,0,
44,0,1,1024,URMA_WRITE,7,44010ns,0,
45,0,1,1024,URMA_WRITE,7,45010ns,0,
46,0,1,1024,URMA_WRITE,7,46010ns,0,
47,0,1,1024,URMA_WRITE,7,47010ns,0,
48,0,1,1024,URMA_WRITE,7,48010ns,0,
49,0,1,1024,URMA_WRITE,7,49010ns,0,
50,0,1,1024,URMA_WRITE,7,50010ns,0,
51,0,1,1024,URMA_WRITE,7,51010ns,0,
52,0,1,1024,URMA_WRITE,7,52010ns,0,
53,0,1,1024,URMA_WRITE,7,53010ns,0,
54,0,1,1024,URMA_WRITE,7,54010ns,0,
55,0,1,1024,URMA_WRITE,7,55010ns,0,
56,0,1,1024,URMA_WRITE,7,56010ns,0,
57,0,1,1024,URMA_WRITE,7,57010ns,0,
58,0,1,1024,URMA_WRITE,7,58010ns,0,
59,0,1,1024,URMA_WRITE,7,59010ns,0,
60,0,1,1024,URMA_WRITE,7,60010ns,0,
61,0,1,1024,URMA_WRITE,7,61010ns,0,
62,0,1,1024,URMA_WRITE,7,62010ns,0,
63,0,1,1024,URMA_WRITE,7,63010ns,0,
