taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,1024,URMA_WRITE,7,10ns,0,
1,0,1,1024,URMA_WRITE,7,10010ns,0,
2,0,1,1024,URMA_WRITE,7,20010ns,0,
3,0,1,1024,URMA_WRITE,7,30010ns,0,
4,0,1,1024,URMA_WRITE,7,40010ns,0,
5,0,1,1024,URMA_WRITE,7,50010ns,0,
6,0,1,1024,URMA_WRITE,7,60010ns,0,
7,0,1,1024,URMA_WRITE,7,70010ns,0,
8,0,1,1024,URMA_WRITE,7,80010ns,0,
9,0,1,1024,URMA_WRITE,7,90010ns,0,
10,0,1,1024,URMA_WRITE,7,100010ns,0,
11,0,1,1024,URMA_WRITE,7,110010ns,0,
12,0,1,1024,URMA_WRITE,7,120010ns,0,
13,0,1,1024,URMA_WRITE,7,130010ns,0,
14,0,1,1024,URMA_WRITE,7,140010ns,0,
15,0,1,1024,URMA_WRITE,7,150010ns,0,
16,0,1,1024,URMA_WRITE,7,160010ns,0,
17,0,1,1024,URMA_WRITE,7,170010ns,0,
18,0,1,1024,URMA_WRITE,7,180010ns,0,
19,0,1,1024,URMA_WRITE,7,190010ns,0,
20,0,1,1024,URMA_WRITE,7,200010ns,0,
21,0,1,1024,URMA_WRITE,7,210010ns,0,
22,0,1,1024,URMA_WRITE,7,220010ns,0,
23,0,1,1024,URMA_WRITE,7,230010ns,0,
24,0,1,1024,URMA_WRITE,7,240010ns,0,
25,0,1,1024,URMA_WRITE,7,250010ns,0,
26,0,1,1024,URMA_WRITE,7,260010ns,0,
27,0,1,1024,URMA_WRITE,7,270010ns,0,
28,0,1,1024,URMA_WRITE,7,280010ns,0,
29,0,1,1024,URMA_WRITE,7,290010ns,0,
30,0,1,1024,URMA_WRITE,7,300010ns,0,
31,0,1,1024,URMA_WRITE,7,310010ns,0,
32,0,1,1024,URMA_WRITE,7,320010ns,0,
33,0,1,1024,URMA_WRITE,7,330010ns,0,
34,0,1,1024,URMA_WRITE,7,340010ns,0,
35,0,1,1024,URMA_WRITE,7,350010ns,0,
36,0,1,1024,URMA_WRITE,7,360010ns,0,
37,0,1,1024,URMA_WRITE,7,370010ns,0,
38,0,1,1024,URMA_WRITE,7,380010ns,0,
39,0,1,1024,URMA_WRITE,7,390010ns,0,
40,0,1,1024,URMA_WRITE,7,400010ns,0,
41,0,1,1024,URMA_WRITE,7,410010ns,0,
42,0,1,1024,URMA_WRITE,7,420010ns,0,
43,0,1,1024,URMA_WRITE,7,430010ns,0,
44,0,1,1024,URMA_WRITE,7,440010ns,0,
45,0,1,1024,URMA_WRITE,7,450010ns,0,
46,0,1,1024,URMA_WRITE,7,460010ns,0,
47,0,1,1024,URMA_WRITE,7,470010ns,0,
48,0,1,1024,URMA_WRITE,7,480010ns,0,
49,0,1,1024,URMA_WRITE,7,490010ns,0,
50,0,1,1024,URMA_WRITE,7,500010ns,0,
51,0,1,1024,URMA_WRITE,7,510010ns,0,
52,0,1,1024,URMA_WRITE,7,520010ns,0,
53,0,1,1024,URMA_WRITE,7,530010ns,0,
54,0,1,1024,URMA_WRITE,7,540010ns,0,
55,0,1,1024,URMA_WRITE,7,550010ns,0,
56,0,1,1024,URMA_WRITE,7,560010ns,0,
57,0,1,1024,URMA_WRITE,7,570010ns,0,
58,0,1,1024,URMA_WRITE,7,580010ns,0,
59,0,1,1024,URMA_WRITE,7,590010ns,0,
60,0,1,1024,URMA_WRITE,7,600010ns,0,
61,0,1,1024,URMA_WRITE,7,610010ns,0,
62,0,1,1024,URMA_WRITE,7,620010ns,0,
63,0,1,1024,URMA_WRITE,7,630010ns,0,
