taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,1,9,262144,URMA_WRITE,7,10ns,0,
1,2,14,262144,URMA_WRITE,7,10ns,0,
2,4,14,262144,URMA_WRITE,7,10ns,0,
3,6,14,262144,URMA_WRITE,7,10ns,0,
4,7,13,262144,URMA_WRITE,7,10ns,0,
5,2,10,262144,URMA_WRITE,7,10ns,0,
6,0,13,262144,URMA_WRITE,7,10ns,0,
7,4,8,262144,URMA_WRITE,7,10ns,0,
8,7,14,262144,URMA_WRITE,7,10ns,0,
9,3,9,262144,URMA_WRITE,7,10ns,0,
10,3,10,262144,URMA_WRITE,7,10ns,0,
11,0,9,262144,URMA_WRITE,7,10ns,0,
12,0,10,262144,URMA_WRITE,7,10ns,0,
13,0,14,262144,URMA_WRITE,7,10ns,0,
14,3,12,262144,URMA_WRITE,7,10ns,0,
15,5,9,262144,URMA_WRITE,7,10ns,0,
16,1,14,262144,URMA_WRITE,7,10ns,0,
17,6,15,262144,URMA_WRITE,7,10ns,0,
18,7,9,262144,URMA_WRITE,7,10ns,0,
19,3,15,262144,URMA_WRITE,7,10ns,0,
20,2,13,262144,URMA_WRITE,7,10ns,0,
21,7,11,262144,URMA_WRITE,7,10ns,0,
22,4,10,262144,URMA_WRITE,7,10ns,0,
23,6,13,262144,URMA_WRITE,7,10ns,0,
24,1,12,262144,URMA_WRITE,7,10ns,0,
25,6,9,262144,URMA_WRITE,7,10ns,0,
26,1,10,262144,URMA_WRITE,7,10ns,0,
27,5,15,262144,URMA_WRITE,7,10ns,0,
28,3,11,262144,URMA_WRITE,7,10ns,0,
29,5,8,262144,URMA_WRITE,7,10ns,0,
30,4,9,262144,URMA_WRITE,7,10ns,0,
31,4,15,262144,URMA_WRITE,7,10ns,0,
