taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,7,9,262144,URMA_WRITE,7,10ns,0,
1,6,15,262144,URMA_WRITE,7,10ns,0,
2,4,11,262144,URMA_WRITE,7,10ns,0,
3,6,14,262144,URMA_WRITE,7,10ns,0,
4,7,11,262144,URMA_WRITE,7,10ns,0,
5,6,9,262144,URMA_WRITE,7,10ns,0,
6,3,13,262144,URMA_WRITE,7,10ns,0,
7,3,12,262144,URMA_WRITE,7,10ns,0,
8,4,8,262144,URMA_WRITE,7,10ns,0,
9,7,12,262144,URMA_WRITE,7,10ns,0,
10,4,13,262144,URMA_WRITE,7,10ns,0,
11,1,12,262144,URMA_WRITE,7,10ns,0,
12,1,11,262144,URMA_WRITE,7,10ns,0,
13,7,14,262144,URMA_WRITE,7,10ns,0,
14,3,14,262144,URMA_WRITE,7,10ns,0,
15,5,8,262144,URMA_WRITE,7,10ns,0,
16,4,15,262144,URMA_WRITE,7,10ns,0,
17,6,11,262144,URMA_WRITE,7,10ns,0,
18,0,14,262144,URMA_WRITE,7,10ns,0,
19,7,8,262144,URMA_WRITE,7,10ns,0,
20,2,11,262144,URMA_WRITE,7,10ns,0,
21,1,9,262144,URMA_WRITE,7,10ns,0,
22,0,13,262144,URMA_WRITE,7,10ns,0,
23,4,10,262144,URMA_WRITE,7,10ns,0,
24,0,10,262144,URMA_WRITE,7,10ns,0,
25,4,14,262144,URMA_WRITE,7,10ns,0,
26,3,9,262144,URMA_WRITE,7,10ns,0,
27,5,12,262144,URMA_WRITE,7,10ns,0,
28,1,10,262144,URMA_WRITE,7,10ns,0,
29,0,8,262144,URMA_WRITE,7,10ns,0,
30,4,9,262144,URMA_WRITE,7,10ns,0,
31,0,12,262144,URMA_WRITE,7,10ns,0,
