nodeId1,portId1,nodeId2,portId2,bandwidth,delay
0,0,16,0,400Gbps,20ns
1,0,16,1,400Gbps,20ns
2,0,16,2,400Gbps,20ns
3,0,16,3,400Gbps,20ns
4,0,16,4,400Gbps,20ns
5,0,16,5,400Gbps,20ns
6,0,16,6,400Gbps,20ns
7,0,16,7,400Gbps,20ns
8,0,17,0,400Gbps,20ns
9,0,17,1,400Gbps,20ns
10,0,17,2,400Gbps,20ns
11,0,17,3,400Gbps,20ns
12,0,17,4,400Gbps,20ns
13,0,17,5,400Gbps,20ns
14,0,17,6,400Gbps,20ns
15,0,17,7,400Gbps,20ns
16,8,18,0,400Gbps,20ns
16,9,19,0,400Gbps,20ns
16,10,20,0,400Gbps,20ns
17,8,18,1,400Gbps,20ns
17,9,19,1,400Gbps,20ns
17,10,20,1,400Gbps,20ns
