taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,5,13,262144,URMA_WRITE,7,10ns,0,
1,0,12,262144,URMA_WRITE,7,10ns,0,
2,3,11,262144,URMA_WRITE,7,10ns,0,
3,4,11,262144,URMA_WRITE,7,10ns,0,
4,3,13,262144,URMA_WRITE,7,10ns,0,
5,4,12,262144,URMA_WRITE,7,10ns,0,
6,2,13,262144,URMA_WRITE,7,10ns,0,
7,2,8,262144,URMA_WRITE,7,10ns,0,
8,4,8,262144,URMA_WRITE,7,10ns,0,
9,3,8,262144,URMA_WRITE,7,10ns,0,
10,3,9,262144,URMA_WRITE,7,10ns,0,
11,4,15,262144,URMA_WRITE,7,10ns,0,
12,0,10,262144,URMA_WRITE,7,10ns,0,
13,6,10,262144,URMA_WRITE,7,10ns,0,
14,3,10,262144,URMA_WRITE,7,10ns,0,
15,5,10,262144,URMA_WRITE,7,10ns,0,
16,0,9,262144,URMA_WRITE,7,10ns,0,
17,0,14,262144,URMA_WRITE,7,10ns,0,
18,0,8,262144,URMA_WRITE,7,10ns,0,
19,7,8,262144,URMA_WRITE,7,10ns,0,
20,3,14,262144,URMA_WRITE,7,10ns,0,
21,4,10,262144,URMA_WRITE,7,10ns,0,
22,7,15,262144,URMA_WRITE,7,10ns,0,
23,2,12,262144,URMA_WRITE,7,10ns,0,
24,7,10,262144,URMA_WRITE,7,10ns,0,
25,7,13,262144,URMA_WRITE,7,10ns,0,
26,1,14,262144,URMA_WRITE,7,10ns,0,
27,1,15,262144,URMA_WRITE,7,10ns,0,
28,4,9,262144,URMA_WRITE,7,10ns,0,
29,6,15,262144,URMA_WRITE,7,10ns,0,
30,2,14,262144,URMA_WRITE,7,10ns,0,
31,3,12,262144,URMA_WRITE,7,10ns,0,
