case_id,block_id,role,control_id,topology_profile,workload_profile,routing_type,selector,candidate_width,traffic_seed_kind,traffic_seed,flow_size_bytes,flow_count,path_delay,path_rate_ratio,interarrival_gap_ns,active_ingress_count,transport,observability,run_status,task_count,completed_task_count,mean_task_duration_us,p50_task_duration_us,p95_task_duration_us,p99_task_duration_us,aggregate_task_goodput_gbps,branch_packet_counts,branch_byte_counts,branch_total_bytes,unique_branch_ports,path_jain,path_cv,max_path_share,last_path_share,detour_share,slow_path_share,queue_max_bytes,queue_tw_mean_max_bytes,slow_path_queue_max_bytes,slow_path_queue_tw_mean_bytes,packet_records,psn_adjacent_inversions,psn_inversions_per_1000,per_flow_affinity_violations,analysis_status,analysis_note,p95_delta_vs_control_pct,goodput_delta_vs_control_pct,jain_delta_vs_control,comparison_cell,pareto
h-many-w3-s11-hash64,hash-robustness,control,h-many-w3-s11-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,HASH64,3,traffic_key_seed,11,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,246.171599,212.19338,406.05134,407.0531,329.730269,"{""8"": 1024, ""9"": 1088, ""10"": 1984}","{""8"": 4274176, ""9"": 4541312, ""10"": 8281216}",17096704,3,0.906596,0.320979,0.484375,0.484375,0.75,0.25,3552074,1981373.071253,1965954,1107591.921697,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,0.0,0.0,0.0,hash-many|w3|s11,False
h-many-w3-s11-crc32,hash-robustness,treatment,h-many-w3-s11-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,CRC32,3,traffic_key_seed,11,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,232.277378,235.56366,319.13294,321.5299,417.434671,"{""8"": 1216, ""9"": 1536, ""10"": 1344}","{""8"": 5075584, ""9"": 6411264, ""10"": 5609856}",17096704,3,0.990808,0.096319,0.375,0.328125,0.703125,0.296875,3080412,1733078.129326,1882474,1001359.001422,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-21.405766,26.598833,0.084212,hash-many|w3|s11,True
h-many-w3-s11-toeplitz,hash-robustness,treatment,h-many-w3-s11-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,TOEPLITZ,3,traffic_key_seed,11,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,232.444643,254.53262,341.52542,342.8611,391.463855,"{""8"": 1536, ""9"": 1152, ""10"": 1408}","{""8"": 6411264, ""9"": 4808448, ""10"": 5876992}",17096704,3,0.986513,0.116927,0.375,0.34375,0.625,0.375,3134674,1847573.85944,3134674,1847573.85944,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-15.891074,18.722451,0.079917,hash-many|w3|s11,False
h-many-w3-s29-hash64,hash-robustness,control,h-many-w3-s29-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,HASH64,3,traffic_key_seed,29,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,222.188274,236.51582,318.81886,322.15806,416.620736,"{""8"": 1088, ""9"": 1408, ""10"": 1600}","{""8"": 4541312, ""9"": 5876992, ""10"": 6678400}",17096704,3,0.976633,0.15468,0.390625,0.390625,0.734375,0.265625,2825798,1637378.650845,1686296,803980.443188,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,0.0,0.0,0.0,hash-many|w3|s29,False
h-many-w3-s29-crc32,hash-robustness,treatment,h-many-w3-s29-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,CRC32,3,traffic_key_seed,29,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,214.268095,232.4691,299.0283,321.48526,417.492634,"{""8"": 1344, ""9"": 1472, ""10"": 1280}","{""8"": 5609856, ""9"": 6144128, ""10"": 5342720}",17096704,3,0.996594,0.058463,0.359375,0.3125,0.671875,0.328125,2596228,1379547.590615,2375006,1181162.395846,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-6.207462,0.209279,0.01996,hash-many|w3|s29,True
h-many-w3-s29-toeplitz,hash-robustness,treatment,h-many-w3-s29-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,TOEPLITZ,3,traffic_key_seed,29,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,233.620773,233.1667,383.88366,385.56814,348.103783,"{""8"": 1152, ""9"": 1216, ""10"": 1728}","{""8"": 4808448, ""9"": 5075584, ""10"": 7212672}",17096704,3,0.965582,0.188798,0.421875,0.421875,0.71875,0.28125,3122152,1453549.675299,2245612,1234204.420412,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,20.408077,-16.445882,-0.011051,hash-many|w3|s29,False
h-many-w3-s47-hash64,hash-robustness,control,h-many-w3-s47-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,HASH64,3,traffic_key_seed,47,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,234.134322,213.81918,352.88862,364.27662,368.45002,"{""8"": 1152, ""9"": 960, ""10"": 1984}","{""8"": 4808448, ""9"": 4007040, ""10"": 8281216}",17096704,3,0.904194,0.32551,0.484375,0.484375,0.71875,0.28125,3155544,1732178.763527,1694644,1000881.527386,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,0.0,0.0,0.0,hash-many|w3|s47,False
h-many-w3-s47-crc32,hash-robustness,treatment,h-many-w3-s47-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,CRC32,3,traffic_key_seed,47,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,212.248911,232.12526,297.42814,300.0995,447.244091,"{""8"": 1152, ""9"": 1536, ""10"": 1408}","{""8"": 4808448, ""9"": 6411264, ""10"": 5876992}",17096704,3,0.986513,0.116927,0.375,0.34375,0.71875,0.28125,2733970,1542850.241936,2145436,1237578.322896,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-15.716143,21.385281,0.082318,hash-many|w3|s47,True
h-many-w3-s47-toeplitz,hash-robustness,treatment,h-many-w3-s47-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,TOEPLITZ,3,traffic_key_seed,47,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,228.805228,235.18014,302.02366,321.46542,417.518401,"{""8"": 1472, ""9"": 1344, ""10"": 1280}","{""8"": 6144128, ""9"": 5609856, ""10"": 5342720}",17096704,3,0.996594,0.058463,0.359375,0.3125,0.640625,0.359375,2395876,1375873.338805,2395876,1375873.338805,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-14.413885,13.317513,0.092399,hash-many|w3|s47,True
h-many-w5-s11-hash64,hash-robustness,control,h-many-w5-s11-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,HASH64,5,traffic_key_seed,11,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,146.443678,130.36314,256.29646,257.29822,521.64266,"{""8"": 640, ""9"": 896, ""10"": 576, ""11"": 1088, ""12"": 896}","{""8"": 2671360, ""9"": 3739904, ""10"": 2404224, ""11"": 4541312, ""12"": 3739904}",17096704,5,0.950348,0.228574,0.265625,0.21875,0.84375,0.15625,2596352,1424945.015229,960082,435608.672672,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,0.0,0.0,0.0,hash-many|w5|s11,False
h-many-w5-s11-crc32,hash-robustness,treatment,h-many-w5-s11-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,CRC32,5,traffic_key_seed,11,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,138.789462,131.28638,192.79214,193.1459,694.903324,"{""8"": 896, ""9"": 768, ""10"": 704, ""11"": 896, ""12"": 832}","{""8"": 3739904, ""9"": 3205632, ""10"": 2938496, ""11"": 3739904, ""12"": 3472768}",17096704,5,0.991768,0.091109,0.21875,0.203125,0.78125,0.21875,1677948,971548.321625,1677948,971548.321625,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-24.777681,33.214435,0.04142,hash-many|w5|s11,True
h-many-w5-s11-toeplitz,hash-robustness,treatment,h-many-w5-s11-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,TOEPLITZ,5,traffic_key_seed,11,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,159.943812,146.30286,298.37038,300.03998,447.332812,"{""8"": 1088, ""9"": 768, ""10"": 576, ""11"": 896, ""12"": 768}","{""8"": 4541312, ""9"": 3205632, ""10"": 2404224, ""11"": 3739904, ""12"": 3205632}",17096704,5,0.959251,0.206108,0.265625,0.1875,0.734375,0.265625,3030324,1688365.136334,3030324,1688365.136334,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,16.416114,-14.245355,0.008903,hash-many|w5|s11,False
h-many-w5-s29-hash64,hash-robustness,control,h-many-w5-s29-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,HASH64,5,traffic_key_seed,29,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,152.24486,140.95518,255.63358,257.30814,521.62255,"{""8"": 576, ""9"": 896, ""10"": 1216, ""11"": 768, ""12"": 640}","{""8"": 2404224, ""9"": 3739904, ""10"": 5075584, ""11"": 3205632, ""12"": 2671360}",17096704,5,0.928798,0.276876,0.296875,0.15625,0.859375,0.140625,1899170,882022.457543,1093650,611615.644485,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,0.0,0.0,0.0,hash-many|w5|s29,False
h-many-w5-s29-crc32,hash-robustness,treatment,h-many-w5-s29-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,CRC32,5,traffic_key_seed,29,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,156.503802,170.38478,213.87374,214.54654,625.58794,"{""8"": 832, ""9"": 896, ""10"": 576, ""11"": 768, ""12"": 1024}","{""8"": 3472768, ""9"": 3739904, ""10"": 2404224, ""11"": 3205632, ""12"": 4274176}",17096704,5,0.968322,0.180872,0.25,0.25,0.796875,0.203125,1849082,919052.195712,1210522,530015.704968,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-16.335819,19.931153,0.039523,hash-many|w5|s29,True
h-many-w5-s29-toeplitz,hash-robustness,treatment,h-many-w5-s29-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,TOEPLITZ,5,traffic_key_seed,29,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,141.129798,128.6547,234.92558,235.92734,568.894338,"{""8"": 576, ""9"": 896, ""10"": 576, ""11"": 960, ""12"": 1088}","{""8"": 2404224, ""9"": 3739904, ""10"": 2404224, ""11"": 4007040, ""12"": 4541312}",17096704,5,0.93945,0.253876,0.265625,0.265625,0.859375,0.140625,2128864,1209380.336272,939150,411180.607036,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-8.100657,9.062451,0.010651,hash-many|w5|s29,False
h-many-w5-s47-hash64,hash-robustness,control,h-many-w5-s47-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,HASH64,5,traffic_key_seed,47,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,142.00457,129.0035,193.1711,214.54654,625.58794,"{""8"": 640, ""9"": 704, ""10"": 960, ""11"": 1024, ""12"": 768}","{""8"": 2671360, ""9"": 2938496, ""10"": 4007040, ""11"": 4274176, ""12"": 3205632}",17096704,5,0.968322,0.180872,0.25,0.1875,0.84375,0.15625,1995172,1118421.019153,1811516,1018066.300351,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,0.0,0.0,0.0,hash-many|w5|s47,True
