case_id,block_id,role,control_id,topology_profile,workload_profile,routing_type,selector,candidate_width,traffic_seed_kind,traffic_seed,flow_size_bytes,flow_count,path_delay,path_rate_ratio,interarrival_gap_ns,active_ingress_count,transport,observability,run_status,task_count,completed_task_count,mean_task_duration_us,p50_task_duration_us,p95_task_duration_us,p99_task_duration_us,aggregate_task_goodput_gbps,branch_packet_counts,branch_byte_counts,branch_total_bytes,unique_branch_ports,path_jain,path_cv,max_path_share,last_path_share,detour_share,slow_path_share,queue_max_bytes,queue_tw_mean_max_bytes,slow_path_queue_max_bytes,slow_path_queue_tw_mean_bytes,packet_records,psn_adjacent_inversions,psn_inversions_per_1000,per_flow_affinity_violations,analysis_status,analysis_note,p95_delta_vs_control_pct,goodput_delta_vs_control_pct,jain_delta_vs_control,comparison_cell,pareto
h-many-w3-s11-crc32,hash-robustness,treatment,h-many-w3-s11-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,CRC32,3,traffic_key_seed,11,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,232.277378,235.56366,319.13294,321.5299,417.434671,"{""8"": 1216, ""9"": 1536, ""10"": 1344}","{""8"": 5075584, ""9"": 6411264, ""10"": 5609856}",17096704,3,0.990808,0.096319,0.375,0.328125,0.703125,0.296875,3080412,1733078.129326,1882474,1001359.001422,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-21.405766,26.598833,0.084212,hash-many|w3|s11,True
h-many-w3-s29-crc32,hash-robustness,treatment,h-many-w3-s29-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,CRC32,3,traffic_key_seed,29,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,214.268095,232.4691,299.0283,321.48526,417.492634,"{""8"": 1344, ""9"": 1472, ""10"": 1280}","{""8"": 5609856, ""9"": 6144128, ""10"": 5342720}",17096704,3,0.996594,0.058463,0.359375,0.3125,0.671875,0.328125,2596228,1379547.590615,2375006,1181162.395846,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-6.207462,0.209279,0.01996,hash-many|w3|s29,True
h-many-w3-s47-crc32,hash-robustness,treatment,h-many-w3-s47-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,CRC32,3,traffic_key_seed,47,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,212.248911,232.12526,297.42814,300.0995,447.244091,"{""8"": 1152, ""9"": 1536, ""10"": 1408}","{""8"": 4808448, ""9"": 6411264, ""10"": 5876992}",17096704,3,0.986513,0.116927,0.375,0.34375,0.71875,0.28125,2733970,1542850.241936,2145436,1237578.322896,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-15.716143,21.385281,0.082318,hash-many|w3|s47,True
h-many-w3-s47-toeplitz,hash-robustness,treatment,h-many-w3-s47-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,TOEPLITZ,3,traffic_key_seed,47,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,228.805228,235.18014,302.02366,321.46542,417.518401,"{""8"": 1472, ""9"": 1344, ""10"": 1280}","{""8"": 6144128, ""9"": 5609856, ""10"": 5342720}",17096704,3,0.996594,0.058463,0.359375,0.3125,0.640625,0.359375,2395876,1375873.338805,2395876,1375873.338805,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-14.413885,13.317513,0.092399,hash-many|w3|s47,True
h-many-w5-s11-crc32,hash-robustness,treatment,h-many-w5-s11-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,CRC32,5,traffic_key_seed,11,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,138.789462,131.28638,192.79214,193.1459,694.903324,"{""8"": 896, ""9"": 768, ""10"": 704, ""11"": 896, ""12"": 832}","{""8"": 3739904, ""9"": 3205632, ""10"": 2938496, ""11"": 3739904, ""12"": 3472768}",17096704,5,0.991768,0.091109,0.21875,0.203125,0.78125,0.21875,1677948,971548.321625,1677948,971548.321625,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-24.777681,33.214435,0.04142,hash-many|w5|s11,True
h-many-w5-s29-crc32,hash-robustness,treatment,h-many-w5-s29-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,CRC32,5,traffic_key_seed,29,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,156.503802,170.38478,213.87374,214.54654,625.58794,"{""8"": 832, ""9"": 896, ""10"": 576, ""11"": 768, ""12"": 1024}","{""8"": 3472768, ""9"": 3739904, ""10"": 2404224, ""11"": 3205632, ""12"": 4274176}",17096704,5,0.968322,0.180872,0.25,0.25,0.796875,0.203125,1849082,919052.195712,1210522,530015.704968,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-16.335819,19.931153,0.039523,hash-many|w5|s29,True
h-many-w5-s47-hash64,hash-robustness,control,h-many-w5-s47-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,HASH64,5,traffic_key_seed,47,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,142.00457,129.0035,193.1711,214.54654,625.58794,"{""8"": 640, ""9"": 704, ""10"": 960, ""11"": 1024, ""12"": 768}","{""8"": 2671360, ""9"": 2938496, ""10"": 4007040, ""11"": 4274176, ""12"": 3205632}",17096704,5,0.968322,0.180872,0.25,0.1875,0.84375,0.15625,1995172,1118421.019153,1811516,1018066.300351,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,0.0,0.0,0.0,hash-many|w5|s47,True
h-many-w8-s11-crc32,hash-robustness,treatment,h-many-w8-s11-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,CRC32,8,traffic_key_seed,11,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,84.058687,85.26906,107.69626,129.07706,1039.826349,"{""8"": 576, ""9"": 384, ""10"": 512, ""11"": 448, ""12"": 640, ""13"": 448, ""14"": 576, ""15"": 512}","{""8"": 2404224, ""9"": 1602816, ""10"": 2137088, ""11"": 1869952, ""12"": 2671360, ""13"": 1869952, ""14"": 2404224, ""15"": 2137088}",17096704,8,0.977099,0.153093,0.15625,0.125,0.859375,0.140625,1160620,643814.128337,1160620,643814.128337,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-28.38833,33.064063,0.018298,hash-many|w8|s11,True
h-many-w8-s29-crc32,hash-robustness,treatment,h-many-w8-s29-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,CRC32,8,traffic_key_seed,29,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,90.715187,86.20718,128.66958,129.0035,1040.419275,"{""8"": 320, ""9"": 448, ""10"": 640, ""11"": 576, ""12"": 576, ""13"": 576, ""14"": 320, ""15"": 640}","{""8"": 1335680, ""9"": 1869952, ""10"": 2671360, ""11"": 2404224, ""12"": 2404224, ""13"": 2404224, ""14"": 1335680, ""15"": 2671360}",17096704,8,0.944649,0.242061,0.15625,0.15625,0.921875,0.078125,1185416,656171.652384,271372,155782.906923,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-14.439486,16.848039,0.040056,hash-many|w8|s29,True
h-many-w8-s47-toeplitz,hash-robustness,treatment,h-many-w8-s47-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,TOEPLITZ,8,traffic_key_seed,47,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,101.043861,106.62506,148.34606,150.36446,892.616034,"{""8"": 576, ""9"": 512, ""10"": 384, ""11"": 576, ""12"": 384, ""13"": 640, ""14"": 512, ""15"": 512}","{""8"": 2404224, ""9"": 2137088, ""10"": 1602816, ""11"": 2404224, ""12"": 1602816, ""13"": 2671360, ""14"": 2137088, ""15"": 2137088}",17096704,8,0.973384,0.165359,0.15625,0.125,0.859375,0.140625,1118880,629329.875918,1064494,606002.968034,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-13.45109,14.281433,0.071976,hash-many|w8|s47,True
