taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,262144,URMA_WRITE,7,473ns,0,
1,0,1,262144,URMA_WRITE,7,896ns,0,
2,0,1,262144,URMA_WRITE,7,583ns,0,
3,0,1,262144,URMA_WRITE,7,887ns,0,
4,0,1,262144,URMA_WRITE,7,956ns,0,
5,0,1,262144,URMA_WRITE,7,809ns,0,
6,0,1,262144,URMA_WRITE,7,486ns,0,
7,0,1,262144,URMA_WRITE,7,472ns,0,
8,0,1,262144,URMA_WRITE,7,530ns,0,
9,0,1,262144,URMA_WRITE,7,885ns,0,
10,0,1,262144,URMA_WRITE,7,611ns,0,
11,0,1,262144,URMA_WRITE,7,204ns,0,
12,0,1,262144,URMA_WRITE,7,199ns,0,
13,0,1,262144,URMA_WRITE,7,833ns,0,
14,0,1,262144,URMA_WRITE,7,534ns,0,
15,0,1,262144,URMA_WRITE,7,497ns,0,
