taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,262144,URMA_WRITE,7,571ns,0,
1,0,1,262144,URMA_WRITE,7,87ns,0,
2,0,1,262144,URMA_WRITE,7,364ns,0,
3,0,1,262144,URMA_WRITE,7,622ns,0,
4,0,1,262144,URMA_WRITE,7,875ns,0,
5,0,1,262144,URMA_WRITE,7,630ns,0,
6,0,1,262144,URMA_WRITE,7,305ns,0,
7,0,1,262144,URMA_WRITE,7,98ns,0,
8,0,1,262144,URMA_WRITE,7,532ns,0,
9,0,1,262144,URMA_WRITE,7,959ns,0,
10,0,1,262144,URMA_WRITE,7,362ns,0,
11,0,1,262144,URMA_WRITE,7,412ns,0,
12,0,1,262144,URMA_WRITE,7,435ns,0,
13,0,1,262144,URMA_WRITE,7,29ns,0,
14,0,1,262144,URMA_WRITE,7,1007ns,0,
15,0,1,262144,URMA_WRITE,7,43ns,0,
