taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,262144,URMA_WRITE,7,370ns,0,
1,0,1,262144,URMA_WRITE,7,74ns,0,
2,0,1,262144,URMA_WRITE,7,450ns,0,
3,0,1,262144,URMA_WRITE,7,576ns,0,
4,0,1,262144,URMA_WRITE,7,474ns,0,
5,0,1,262144,URMA_WRITE,7,594ns,0,
6,0,1,262144,URMA_WRITE,7,361ns,0,
7,0,1,262144,URMA_WRITE,7,273ns,0,
8,0,1,262144,URMA_WRITE,7,534ns,0,
9,0,1,262144,URMA_WRITE,7,405ns,0,
10,0,1,262144,URMA_WRITE,7,411ns,0,
11,0,1,262144,URMA_WRITE,7,640ns,0,
12,0,1,262144,URMA_WRITE,7,51ns,0,
13,0,1,262144,URMA_WRITE,7,824ns,0,
14,0,1,262144,URMA_WRITE,7,438ns,0,
15,0,1,262144,URMA_WRITE,7,684ns,0,
