nodeId,dstNodeId,dstPortId,outPorts,metrics
0,1..7,0,0,2
0..7,8..31,0,0,4
1,0,0,0,2
1,2..7,0,0,2
2,0..1,0,0,2
2,3..7,0,0,2
3,0..2,0,0,2
3,4..7,0,0,2
4,0..3,0,0,2
4,5..7,0,0,2
5,0..4,0,0,2
5,6..7,0,0,2
6,0..5,0,0,2
6,7,0,0,2
7,0..6,0,0,2
8..15,0..7,0,0,4
8,9..15,0,0,2
8..15,16..31,0,0,4
9,8,0,0,2
9,10..15,0,0,2
10,8..9,0,0,2
10,11..15,0,0,2
11,8..10,0,0,2
11,12..15,0,0,2
12,8..11,0,0,2
12,13..15,0,0,2
13,8..12,0,0,2
13,14..15,0,0,2
14,8..13,0,0,2
14,15,0,0,2
15,8..14,0,0,2
16..23,0..15,0,0,4
16,17..23,0,0,2
16..23,24..31,0,0,4
17,16,0,0,2
17,18..23,0,0,2
18,16..17,0,0,2
18,19..23,0,0,2
19,16..18,0,0,2
19,20..23,0,0,2
20,16..19,0,0,2
20,21..23,0,0,2
21,16..20,0,0,2
21,22..23,0,0,2
22,16..21,0,0,2
22,23,0,0,2
23,16..22,0,0,2
24..31,0..23,0,0,4
24,25..31,0,0,2
25,24,0,0,2
25,26..31,0,0,2
26,24..25,0,0,2
26,27..31,0,0,2
27,24..26,0,0,2
27,28..31,0,0,2
28,24..27,0,0,2
28,29..31,0,0,2
29,24..28,0,0,2
29,30..31,0,0,2
30,24..29,0,0,2
30,31,0,0,2
31,24..30,0,0,2
32,0,0,0,1
32,1,0,1,1
32,2,0,2,1
32,3,0,3,1
32,4,0,4,1
32,5,0,5,1
32,6,0,6,1
32,7,0,7,1
32,8..31,0,8 9 10,3 3 3
33,0..7,0,8 9 10,3 3 3
33,8,0,0,1
33,9,0,1,1
33,10,0,2,1
33,11,0,3,1
33,12,0,4,1
33,13,0,5,1
33,14,0,6,1
33,15,0,7,1
33,16..31,0,8 9 10,3 3 3
34,0..15,0,8 9 10,3 3 3
34,16,0,0,1
34,17,0,1,1
34,18,0,2,1
34,19,0,3,1
34,20,0,4,1
34,21,0,5,1
34,22,0,6,1
34,23,0,7,1
34,24..31,0,8 9 10,3 3 3
35,0..23,0,8 9 10,3 3 3
35,24,0,0,1
35,25,0,1,1
35,26,0,2,1
35,27,0,3,1
35,28,0,4,1
35,29,0,5,1
35,30,0,6,1
35,31,0,7,1
36..38,0..7,0,0,2
36..38,8..15,0,1,2
36..38,16..23,0,2,2
36..38,24..31,0,3,2
