taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,11,20,262144,URMA_WRITE,7,10ns,0,
1,1,16,262144,URMA_WRITE,7,10ns,0,
2,6,30,262144,URMA_WRITE,7,10ns,0,
3,8,29,262144,URMA_WRITE,7,10ns,0,
4,7,20,262144,URMA_WRITE,7,10ns,0,
5,9,18,262144,URMA_WRITE,7,10ns,0,
6,5,23,262144,URMA_WRITE,7,10ns,0,
7,4,17,262144,URMA_WRITE,7,10ns,0,
8,8,19,262144,URMA_WRITE,7,10ns,0,
9,6,18,262144,URMA_WRITE,7,10ns,0,
10,6,20,262144,URMA_WRITE,7,10ns,0,
11,9,29,262144,URMA_WRITE,7,10ns,0,
12,0,26,262144,URMA_WRITE,7,10ns,0,
13,12,27,262144,URMA_WRITE,7,10ns,0,
14,6,27,262144,URMA_WRITE,7,10ns,0,
15,10,24,262144,URMA_WRITE,7,10ns,0,
16,0,22,262144,URMA_WRITE,7,10ns,0,
17,1,26,262144,URMA_WRITE,7,10ns,0,
18,0,16,262144,URMA_WRITE,7,10ns,0,
19,4,19,262144,URMA_WRITE,7,10ns,0,
20,12,26,262144,URMA_WRITE,7,10ns,0,
21,7,27,262144,URMA_WRITE,7,10ns,0,
22,11,25,262144,URMA_WRITE,7,10ns,0,
23,8,27,262144,URMA_WRITE,7,10ns,0,
24,0,18,262144,URMA_WRITE,7,10ns,0,
25,13,16,262144,URMA_WRITE,7,10ns,0,
26,5,16,262144,URMA_WRITE,7,10ns,0,
27,9,17,262144,URMA_WRITE,7,10ns,0,
28,6,29,262144,URMA_WRITE,7,10ns,0,
29,3,26,262144,URMA_WRITE,7,10ns,0,
30,3,28,262144,URMA_WRITE,7,10ns,0,
31,8,21,262144,URMA_WRITE,7,10ns,0,
32,15,23,262144,URMA_WRITE,7,10ns,0,
33,5,27,262144,URMA_WRITE,7,10ns,0,
34,7,17,262144,URMA_WRITE,7,10ns,0,
35,3,29,262144,URMA_WRITE,7,10ns,0,
36,0,24,262144,URMA_WRITE,7,10ns,0,
37,8,31,262144,URMA_WRITE,7,10ns,0,
38,5,31,262144,URMA_WRITE,7,10ns,0,
39,11,23,262144,URMA_WRITE,7,10ns,0,
40,11,16,262144,URMA_WRITE,7,10ns,0,
41,5,26,262144,URMA_WRITE,7,10ns,0,
42,9,25,262144,URMA_WRITE,7,10ns,0,
43,15,25,262144,URMA_WRITE,7,10ns,0,
44,8,30,262144,URMA_WRITE,7,10ns,0,
45,9,19,262144,URMA_WRITE,7,10ns,0,
46,12,19,262144,URMA_WRITE,7,10ns,0,
47,3,18,262144,URMA_WRITE,7,10ns,0,
48,13,28,262144,URMA_WRITE,7,10ns,0,
49,12,25,262144,URMA_WRITE,7,10ns,0,
50,11,26,262144,URMA_WRITE,7,10ns,0,
51,0,25,262144,URMA_WRITE,7,10ns,0,
52,2,16,262144,URMA_WRITE,7,10ns,0,
53,5,21,262144,URMA_WRITE,7,10ns,0,
54,1,25,262144,URMA_WRITE,7,10ns,0,
55,5,28,262144,URMA_WRITE,7,10ns,0,
56,9,20,262144,URMA_WRITE,7,10ns,0,
57,15,22,262144,URMA_WRITE,7,10ns,0,
58,8,18,262144,URMA_WRITE,7,10ns,0,
59,8,26,262144,URMA_WRITE,7,10ns,0,
60,4,16,262144,URMA_WRITE,7,10ns,0,
61,1,24,262144,URMA_WRITE,7,10ns,0,
62,10,22,262144,URMA_WRITE,7,10ns,0,
63,14,18,262144,URMA_WRITE,7,10ns,0,
