taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,14,23,262144,URMA_WRITE,7,10ns,0,
1,13,29,262144,URMA_WRITE,7,10ns,0,
2,8,31,262144,URMA_WRITE,7,10ns,0,
3,13,27,262144,URMA_WRITE,7,10ns,0,
4,14,28,262144,URMA_WRITE,7,10ns,0,
5,12,23,262144,URMA_WRITE,7,10ns,0,
6,7,23,262144,URMA_WRITE,7,10ns,0,
7,7,19,262144,URMA_WRITE,7,10ns,0,
8,8,18,262144,URMA_WRITE,7,10ns,0,
9,13,26,262144,URMA_WRITE,7,10ns,0,
10,9,22,262144,URMA_WRITE,7,10ns,0,
11,3,16,262144,URMA_WRITE,7,10ns,0,
12,2,31,262144,URMA_WRITE,7,10ns,0,
13,12,29,262144,URMA_WRITE,7,10ns,0,
14,8,19,262144,URMA_WRITE,7,10ns,0,
15,7,25,262144,URMA_WRITE,7,10ns,0,
16,10,17,262144,URMA_WRITE,7,10ns,0,
17,9,29,262144,URMA_WRITE,7,10ns,0,
18,12,27,262144,URMA_WRITE,7,10ns,0,
19,15,19,262144,URMA_WRITE,7,10ns,0,
20,1,24,262144,URMA_WRITE,7,10ns,0,
21,7,18,262144,URMA_WRITE,7,10ns,0,
22,4,29,262144,URMA_WRITE,7,10ns,0,
23,2,20,262144,URMA_WRITE,7,10ns,0,
24,1,23,262144,URMA_WRITE,7,10ns,0,
25,8,25,262144,URMA_WRITE,7,10ns,0,
26,12,31,262144,URMA_WRITE,7,10ns,0,
27,14,19,262144,URMA_WRITE,7,10ns,0,
28,11,17,262144,URMA_WRITE,7,10ns,0,
29,10,18,262144,URMA_WRITE,7,10ns,0,
30,0,26,262144,URMA_WRITE,7,10ns,0,
31,9,24,262144,URMA_WRITE,7,10ns,0,
32,6,21,262144,URMA_WRITE,7,10ns,0,
33,15,24,262144,URMA_WRITE,7,10ns,0,
34,10,23,262144,URMA_WRITE,7,10ns,0,
35,11,29,262144,URMA_WRITE,7,10ns,0,
36,14,30,262144,URMA_WRITE,7,10ns,0,
37,10,22,262144,URMA_WRITE,7,10ns,0,
38,2,24,262144,URMA_WRITE,7,10ns,0,
39,9,31,262144,URMA_WRITE,7,10ns,0,
40,0,19,262144,URMA_WRITE,7,10ns,0,
41,13,20,262144,URMA_WRITE,7,10ns,0,
42,8,23,262144,URMA_WRITE,7,10ns,0,
43,1,16,262144,URMA_WRITE,7,10ns,0,
44,0,31,262144,URMA_WRITE,7,10ns,0,
45,0,25,262144,URMA_WRITE,7,10ns,0,
46,15,20,262144,URMA_WRITE,7,10ns,0,
47,3,29,262144,URMA_WRITE,7,10ns,0,
48,9,25,262144,URMA_WRITE,7,10ns,0,
49,0,23,262144,URMA_WRITE,7,10ns,0,
50,15,26,262144,URMA_WRITE,7,10ns,0,
51,7,22,262144,URMA_WRITE,7,10ns,0,
52,5,19,262144,URMA_WRITE,7,10ns,0,
53,7,16,262144,URMA_WRITE,7,10ns,0,
54,9,23,262144,URMA_WRITE,7,10ns,0,
55,3,18,262144,URMA_WRITE,7,10ns,0,
56,8,20,262144,URMA_WRITE,7,10ns,0,
57,3,27,262144,URMA_WRITE,7,10ns,0,
58,10,19,262144,URMA_WRITE,7,10ns,0,
59,4,27,262144,URMA_WRITE,7,10ns,0,
60,7,31,262144,URMA_WRITE,7,10ns,0,
61,0,17,262144,URMA_WRITE,7,10ns,0,
62,10,25,262144,URMA_WRITE,7,10ns,0,
63,1,21,262144,URMA_WRITE,7,10ns,0,
