taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,2,22,262144,URMA_WRITE,7,10ns,0,
1,5,24,262144,URMA_WRITE,7,10ns,0,
2,9,25,262144,URMA_WRITE,7,10ns,0,
3,13,24,262144,URMA_WRITE,7,10ns,0,
4,9,27,262144,URMA_WRITE,7,10ns,0,
5,4,25,262144,URMA_WRITE,7,10ns,0,
6,1,22,262144,URMA_WRITE,7,10ns,0,
7,8,18,262144,URMA_WRITE,7,10ns,0,
8,14,29,262144,URMA_WRITE,7,10ns,0,
9,15,30,262144,URMA_WRITE,7,10ns,0,
10,6,20,262144,URMA_WRITE,7,10ns,0,
11,6,26,262144,URMA_WRITE,7,10ns,0,
12,0,20,262144,URMA_WRITE,7,10ns,0,
13,0,24,262144,URMA_WRITE,7,10ns,0,
14,1,26,262144,URMA_WRITE,7,10ns,0,
15,15,28,262144,URMA_WRITE,7,10ns,0,
16,7,17,262144,URMA_WRITE,7,10ns,0,
17,10,22,262144,URMA_WRITE,7,10ns,0,
18,3,25,262144,URMA_WRITE,7,10ns,0,
19,12,29,262144,URMA_WRITE,7,10ns,0,
20,5,25,262144,URMA_WRITE,7,10ns,0,
21,1,21,262144,URMA_WRITE,7,10ns,0,
22,7,31,262144,URMA_WRITE,7,10ns,0,
23,5,20,262144,URMA_WRITE,7,10ns,0,
24,15,27,262144,URMA_WRITE,7,10ns,0,
25,8,26,262144,URMA_WRITE,7,10ns,0,
26,6,27,262144,URMA_WRITE,7,10ns,0,
27,13,22,262144,URMA_WRITE,7,10ns,0,
28,11,26,262144,URMA_WRITE,7,10ns,0,
29,3,19,262144,URMA_WRITE,7,10ns,0,
30,7,18,262144,URMA_WRITE,7,10ns,0,
31,2,27,262144,URMA_WRITE,7,10ns,0,
32,3,24,262144,URMA_WRITE,7,10ns,0,
33,6,31,262144,URMA_WRITE,7,10ns,0,
34,12,24,262144,URMA_WRITE,7,10ns,0,
35,6,24,262144,URMA_WRITE,7,10ns,0,
36,10,28,262144,URMA_WRITE,7,10ns,0,
37,12,26,262144,URMA_WRITE,7,10ns,0,
38,10,31,262144,URMA_WRITE,7,10ns,0,
39,9,16,262144,URMA_WRITE,7,10ns,0,
40,8,22,262144,URMA_WRITE,7,10ns,0,
41,3,18,262144,URMA_WRITE,7,10ns,0,
42,8,27,262144,URMA_WRITE,7,10ns,0,
43,13,27,262144,URMA_WRITE,7,10ns,0,
44,6,28,262144,URMA_WRITE,7,10ns,0,
45,4,28,262144,URMA_WRITE,7,10ns,0,
46,4,23,262144,URMA_WRITE,7,10ns,0,
47,8,19,262144,URMA_WRITE,7,10ns,0,
48,12,16,262144,URMA_WRITE,7,10ns,0,
49,13,31,262144,URMA_WRITE,7,10ns,0,
50,6,25,262144,URMA_WRITE,7,10ns,0,
51,12,25,262144,URMA_WRITE,7,10ns,0,
52,7,24,262144,URMA_WRITE,7,10ns,0,
53,8,20,262144,URMA_WRITE,7,10ns,0,
54,2,20,262144,URMA_WRITE,7,10ns,0,
55,12,31,262144,URMA_WRITE,7,10ns,0,
56,4,30,262144,URMA_WRITE,7,10ns,0,
57,12,17,262144,URMA_WRITE,7,10ns,0,
58,13,18,262144,URMA_WRITE,7,10ns,0,
59,9,22,262144,URMA_WRITE,7,10ns,0,
60,11,21,262144,URMA_WRITE,7,10ns,0,
61,10,21,262144,URMA_WRITE,7,10ns,0,
62,12,27,262144,URMA_WRITE,7,10ns,0,
63,6,21,262144,URMA_WRITE,7,10ns,0,
