taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,23,262144,URMA_WRITE,7,10ns,0,
1,0,19,262144,URMA_WRITE,7,10ns,0,
2,2,16,262144,URMA_WRITE,7,10ns,0,
3,1,20,262144,URMA_WRITE,7,10ns,0,
4,2,18,262144,URMA_WRITE,7,10ns,0,
5,3,17,262144,URMA_WRITE,7,10ns,0,
6,2,22,262144,URMA_WRITE,7,10ns,0,
7,2,21,262144,URMA_WRITE,7,10ns,0,
8,3,22,262144,URMA_WRITE,7,10ns,0,
9,1,23,262144,URMA_WRITE,7,10ns,0,
10,3,18,262144,URMA_WRITE,7,10ns,0,
11,0,21,262144,URMA_WRITE,7,10ns,0,
12,2,22,262144,URMA_WRITE,7,10ns,0,
13,1,16,262144,URMA_WRITE,7,10ns,0,
14,3,19,262144,URMA_WRITE,7,10ns,0,
15,1,19,262144,URMA_WRITE,7,10ns,0,
16,3,19,262144,URMA_WRITE,7,10ns,0,
17,3,21,262144,URMA_WRITE,7,10ns,0,
18,1,19,262144,URMA_WRITE,7,10ns,0,
19,0,21,262144,URMA_WRITE,7,10ns,0,
20,2,23,262144,URMA_WRITE,7,10ns,0,
21,3,21,262144,URMA_WRITE,7,10ns,0,
22,2,20,262144,URMA_WRITE,7,10ns,0,
23,1,16,262144,URMA_WRITE,7,10ns,0,
24,1,23,262144,URMA_WRITE,7,10ns,0,
25,2,20,262144,URMA_WRITE,7,10ns,0,
26,2,19,262144,URMA_WRITE,7,10ns,0,
27,1,21,262144,URMA_WRITE,7,10ns,0,
28,1,19,262144,URMA_WRITE,7,10ns,0,
29,0,21,262144,URMA_WRITE,7,10ns,0,
30,3,23,262144,URMA_WRITE,7,10ns,0,
31,0,16,262144,URMA_WRITE,7,10ns,0,
32,0,16,262144,URMA_WRITE,7,10ns,0,
33,0,20,262144,URMA_WRITE,7,10ns,0,
34,3,20,262144,URMA_WRITE,7,10ns,0,
35,3,17,262144,URMA_WRITE,7,10ns,0,
36,2,17,262144,URMA_WRITE,7,10ns,0,
37,2,19,262144,URMA_WRITE,7,10ns,0,
38,1,20,262144,URMA_WRITE,7,10ns,0,
39,3,16,262144,URMA_WRITE,7,10ns,0,
40,0,17,262144,URMA_WRITE,7,10ns,0,
41,1,17,262144,URMA_WRITE,7,10ns,0,
42,0,21,262144,URMA_WRITE,7,10ns,0,
43,0,23,262144,URMA_WRITE,7,10ns,0,
44,1,23,262144,URMA_WRITE,7,10ns,0,
45,3,21,262144,URMA_WRITE,7,10ns,0,
46,1,21,262144,URMA_WRITE,7,10ns,0,
47,0,22,262144,URMA_WRITE,7,10ns,0,
48,1,17,262144,URMA_WRITE,7,10ns,0,
49,0,21,262144,URMA_WRITE,7,10ns,0,
50,2,21,262144,URMA_WRITE,7,10ns,0,
51,2,22,262144,URMA_WRITE,7,10ns,0,
52,0,16,262144,URMA_WRITE,7,10ns,0,
53,3,16,262144,URMA_WRITE,7,10ns,0,
54,3,19,262144,URMA_WRITE,7,10ns,0,
55,3,22,262144,URMA_WRITE,7,10ns,0,
56,2,20,262144,URMA_WRITE,7,10ns,0,
57,2,18,262144,URMA_WRITE,7,10ns,0,
58,2,22,262144,URMA_WRITE,7,10ns,0,
59,3,19,262144,URMA_WRITE,7,10ns,0,
60,0,20,262144,URMA_WRITE,7,10ns,0,
61,0,17,262144,URMA_WRITE,7,10ns,0,
62,1,22,262144,URMA_WRITE,7,10ns,0,
63,1,22,262144,URMA_WRITE,7,10ns,0,
