taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,262144,URMA_WRITE,7,10ns,0,
1,0,1,262144,URMA_WRITE,7,10ns,0,
2,0,1,262144,URMA_WRITE,7,10ns,0,
3,0,1,262144,URMA_WRITE,7,10ns,0,
4,0,1,262144,URMA_WRITE,7,10ns,0,
5,0,1,262144,URMA_WRITE,7,10ns,0,
6,0,1,262144,URMA_WRITE,7,10ns,0,
7,0,1,262144,URMA_WRITE,7,10ns,0,
8,0,1,262144,URMA_WRITE,7,10ns,0,
9,0,1,262144,URMA_WRITE,7,10ns,0,
10,0,1,262144,URMA_WRITE,7,10ns,0,
11,0,1,262144,URMA_WRITE,7,10ns,0,
12,0,1,262144,URMA_WRITE,7,10ns,0,
13,0,1,262144,URMA_WRITE,7,10ns,0,
14,0,1,262144,URMA_WRITE,7,10ns,0,
15,0,1,262144,URMA_WRITE,7,10ns,0,
16,0,1,262144,URMA_WRITE,7,10ns,0,
17,0,1,262144,URMA_WRITE,7,10ns,0,
18,0,1,262144,URMA_WRITE,7,10ns,0,
19,0,1,262144,URMA_WRITE,7,10ns,0,
20,0,1,262144,URMA_WRITE,7,10ns,0,
21,0,1,262144,URMA_WRITE,7,10ns,0,
22,0,1,262144,URMA_WRITE,7,10ns,0,
23,0,1,262144,URMA_WRITE,7,10ns,0,
24,0,1,262144,URMA_WRITE,7,10ns,0,
25,0,1,262144,URMA_WRITE,7,10ns,0,
26,0,1,262144,URMA_WRITE,7,10ns,0,
27,0,1,262144,URMA_WRITE,7,10ns,0,
28,0,1,262144,URMA_WRITE,7,10ns,0,
29,0,1,262144,URMA_WRITE,7,10ns,0,
30,0,1,262144,URMA_WRITE,7,10ns,0,
31,0,1,262144,URMA_WRITE,7,10ns,0,
