test,case,status,tasks,max_sim_complete_us,avg_flow_fct_us,stats_path
test01_tp_all_gather,case01_standard,OK,72,40.448644,39.796708,test01_tp_all_gather/case01_standard/output/task_statistics.csv
test01_tp_all_gather,case02_host_l1_lane_down,OK,72,41.168776,39.839745,test01_tp_all_gather/case02_host_l1_lane_down/output/task_statistics.csv
test01_tp_all_gather,case03_host_l1_port_down,OK,72,41.765798,39.855699,test01_tp_all_gather/case03_host_l1_port_down/output/task_statistics.csv
test01_tp_all_gather,case04_l1_l2_lane_down,OK,72,41.168776,39.839745,test01_tp_all_gather/case04_l1_l2_lane_down/output/task_statistics.csv
test01_tp_all_gather,case05_l1_l2_port_down,OK,72,41.765798,39.855699,test01_tp_all_gather/case05_l1_l2_port_down/output/task_statistics.csv
test02_cp_all_to_all,case01_standard,OK,216,207.177201,204.484752,test02_cp_all_to_all/case01_standard/output/task_statistics.csv
test02_cp_all_to_all,case02_host_l1_lane_down,OK,216,211.010142,204.682912,test02_cp_all_to_all/case02_host_l1_lane_down/output/task_statistics.csv
test02_cp_all_to_all,case03_host_l1_port_down,OK,216,261.120598,206.317872,test02_cp_all_to_all/case03_host_l1_port_down/output/task_statistics.csv
test02_cp_all_to_all,case04_l1_l2_lane_down,OK,216,211.010142,204.682912,test02_cp_all_to_all/case04_l1_l2_lane_down/output/task_statistics.csv
test02_cp_all_to_all,case05_l1_l2_port_down,OK,216,261.120598,206.317872,test02_cp_all_to_all/case05_l1_l2_port_down/output/task_statistics.csv
test03_tp_reduce_scatter,case01_standard,OK,72,183.918353,183.161522,test03_tp_reduce_scatter/case01_standard/output/task_statistics.csv
test03_tp_reduce_scatter,case02_host_l1_lane_down,OK,72,187.821797,183.295701,test03_tp_reduce_scatter/case02_host_l1_lane_down/output/task_statistics.csv
test03_tp_reduce_scatter,case03_host_l1_port_down,OK,72,191.217813,183.389650,test03_tp_reduce_scatter/case03_host_l1_port_down/output/task_statistics.csv
test03_tp_reduce_scatter,case04_l1_l2_lane_down,OK,72,187.821797,183.295701,test03_tp_reduce_scatter/case04_l1_l2_lane_down/output/task_statistics.csv
test03_tp_reduce_scatter,case05_l1_l2_port_down,OK,72,191.217813,183.389650,test03_tp_reduce_scatter/case05_l1_l2_port_down/output/task_statistics.csv
test04_tp_reduce_scatter,case01_standard,OK,72,92.878504,92.046132,test04_tp_reduce_scatter/case01_standard/output/task_statistics.csv
test04_tp_reduce_scatter,case02_host_l1_lane_down,OK,72,94.037406,92.109347,test04_tp_reduce_scatter/case02_host_l1_lane_down/output/task_statistics.csv
test04_tp_reduce_scatter,case03_host_l1_port_down,OK,72,96.164079,92.168153,test04_tp_reduce_scatter/case03_host_l1_port_down/output/task_statistics.csv
