run_group,scale,test,scenario,completed_tasks,mean(us),max(us),mean_increase(%),max_increase(%)
standard_case01,standard,test01_tp_all_gather,standard,72,79.194680,79.209935,,
standard_case01,standard,test02_cp_all_to_all,standard,216,301.648622,310.993163,,
standard_case01,standard,test03_tp_reduce_scatter,standard,72,360.799144,360.814899,,
standard_case01,standard,test04_tp_reduce_scatter,standard,72,182.667296,182.683051,,
standard_case01,standard,test05_pp_send_recv,standard,64,362.013431,362.584371,,
standard_case01,standard,test06_epxetp_all_to_all,standard,504,1659.177984,1666.908336,,
standard_case01,standard,test07_etp_all_reduce,standard,72,2155.327862,2155.343618,,
scale440,440,test09_dp_all_gather,standard,6840,5.067877,11.261579,0.00,0.00
scale440,440,test09_dp_all_gather,single_lane_down,6840,5.035568,19.161712,-0.64,70.15
scale440,440,test09_dp_all_gather,single_port_down,6840,5.072870,11.257813,0.10,-0.03
scale440,440,test09_dp_all_gather,distributed_18_port_down,6840,5.049550,11.275743,-0.36,0.13
scale440,440,test09_dp_all_gather,concentrated_18_port_down,6840,5.193688,19.424555,2.48,72.49
scale440,440,test10_dp_reduce_scatter,standard,6840,5.068969,11.307382,0.00,0.00
scale440,440,test10_dp_reduce_scatter,single_lane_down,6840,5.017088,31.500992,-1.02,178.59
scale440,440,test10_dp_reduce_scatter,single_port_down,6840,5.087390,11.844029,0.36,4.75
scale440,440,test10_dp_reduce_scatter,distributed_18_port_down,6840,5.060559,11.789624,-0.17,4.26
scale440,440,test10_dp_reduce_scatter,concentrated_18_port_down,6840,5.159535,19.728786,1.79,74.48
scale220,220,test09_dp_all_gather,standard,6840,8.726022,19.627444,0.00,0.00
scale220,220,test09_dp_all_gather,single_lane_down,6840,8.840637,41.030192,1.31,109.05
scale220,220,test09_dp_all_gather,single_port_down,6840,8.770398,20.060209,0.51,2.20
scale220,220,test09_dp_all_gather,distributed_18_port_down,6840,8.703550,20.074974,-0.26,2.28
scale220,220,test09_dp_all_gather,concentrated_18_port_down,6840,9.167568,38.182561,5.06,94.54
scale220,220,test10_dp_reduce_scatter,standard,6840,8.767128,19.669678,0.00,0.00
scale220,220,test10_dp_reduce_scatter,single_lane_down,6840,8.815044,53.185172,0.55,170.39
scale220,220,test10_dp_reduce_scatter,single_port_down,6840,8.774550,20.483129,0.08,4.14
scale220,220,test10_dp_reduce_scatter,distributed_18_port_down,6840,8.736615,20.309718,-0.35,3.25
scale220,220,test10_dp_reduce_scatter,concentrated_18_port_down,6840,9.111641,39.322856,3.93,99.92
scale110,110,test09_dp_all_gather,standard,6840,15.528142,36.526117,0.00,0.00
scale110,110,test09_dp_all_gather,single_lane_down,6840,15.958315,72.697110,2.77,99.03
scale110,110,test09_dp_all_gather,single_port_down,6840,15.586772,39.904736,0.38,9.25
scale110,110,test09_dp_all_gather,distributed_18_port_down,6840,15.545083,39.599087,0.11,8.41
scale110,110,test09_dp_all_gather,concentrated_18_port_down,6840,16.682726,76.073000,7.44,108.27
scale110,110,test10_dp_reduce_scatter,standard,6840,15.488102,36.549376,0.00,0.00
scale110,110,test10_dp_reduce_scatter,single_lane_down,6840,15.988740,88.874723,3.23,143.16
scale110,110,test10_dp_reduce_scatter,single_port_down,6840,15.450771,40.287999,-0.24,10.23
scale110,110,test10_dp_reduce_scatter,distributed_18_port_down,6840,15.495495,40.192642,0.05,9.97
scale110,110,test10_dp_reduce_scatter,concentrated_18_port_down,6840,16.532700,78.531465,6.74,114.86
scale10,10,test08_dp_reduce_scatter,standard,6840,171.745231,427.622813,0.00,0.00
scale10,10,test08_dp_reduce_scatter,single_lane_down,6840,185.990472,932.174619,8.29,117.99
scale10,10,test08_dp_reduce_scatter,single_port_down,6840,173.789114,489.717944,1.19,14.52
scale10,10,test08_dp_reduce_scatter,distributed_18_port_down,6840,175.558311,486.456346,2.22,13.76
scale10,10,test08_dp_reduce_scatter,concentrated_18_port_down,6840,189.258545,983.367475,10.20,129.96
scale10,10,test09_dp_all_gather,standard,6840,146.046315,363.243012,0.00,0.00
scale10,10,test09_dp_all_gather,single_lane_down,6840,158.206792,757.116281,8.33,108.43
scale10,10,test09_dp_all_gather,single_port_down,6840,148.419391,412.021977,1.62,13.43
scale10,10,test09_dp_all_gather,distributed_18_port_down,6840,150.014510,416.117032,2.72,14.56
scale10,10,test09_dp_all_gather,concentrated_18_port_down,6840,162.713202,799.305422,11.41,120.05
