test,variant,scope,traffic_rows,rc,elapsed_s,stats_exists,max_no_task_ms,log,stats
test01_tp_all_gather,case01_standard,NONE,2,0,15.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test01_tp_all_gather__case01_standard.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test01_tp_all_gather/case01_standard/output/task_statistics.csv
test01_tp_all_gather,case02_host_l1_lane_down,POD_LOCAL,2,0,15.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test01_tp_all_gather__case02_host_l1_lane_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test01_tp_all_gather/case02_host_l1_lane_down/output/task_statistics.csv
test01_tp_all_gather,case03_host_l1_port_down,POD_LOCAL,2,0,15.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test01_tp_all_gather__case03_host_l1_port_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test01_tp_all_gather/case03_host_l1_port_down/output/task_statistics.csv
test01_tp_all_gather,case04_l1_l2_lane_down,NONE,2,0,15.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test01_tp_all_gather__case04_l1_l2_lane_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test01_tp_all_gather/case04_l1_l2_lane_down/output/task_statistics.csv
test01_tp_all_gather,case05_l1_l2_port_down,NONE,2,0,15.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test01_tp_all_gather__case05_l1_l2_port_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test01_tp_all_gather/case05_l1_l2_port_down/output/task_statistics.csv
test02_cp_all_to_all,case01_standard,NONE,12,0,15.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test02_cp_all_to_all__case01_standard.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test02_cp_all_to_all/case01_standard/output/task_statistics.csv
test02_cp_all_to_all,case02_host_l1_lane_down,POD_LOCAL,12,0,15.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test02_cp_all_to_all__case02_host_l1_lane_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test02_cp_all_to_all/case02_host_l1_lane_down/output/task_statistics.csv
test02_cp_all_to_all,case03_host_l1_port_down,POD_LOCAL,12,0,15.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test02_cp_all_to_all__case03_host_l1_port_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test02_cp_all_to_all/case03_host_l1_port_down/output/task_statistics.csv
test02_cp_all_to_all,case04_l1_l2_lane_down,NONE,12,0,15.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test02_cp_all_to_all__case04_l1_l2_lane_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test02_cp_all_to_all/case04_l1_l2_lane_down/output/task_statistics.csv
test02_cp_all_to_all,case05_l1_l2_port_down,NONE,12,0,15.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test02_cp_all_to_all__case05_l1_l2_port_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test02_cp_all_to_all/case05_l1_l2_port_down/output/task_statistics.csv
