test,variant,scope,tasks,max_complete_us,avg_complete_us,min_throughput_Gbps,avg_throughput_Gbps,stats
test01_tp_all_gather,case01_standard,NONE,2,39.23824,39.23824,5132.1852,5132.1852,scratch/pod1d_no_access_pairwise_2mb_full_ps/test01_tp_all_gather/case01_standard/output/task_statistics.csv
test01_tp_all_gather,case02_host_l1_lane_down,POD_LOCAL,2,40.449448,40.4398575,4978.4703,4979.6515500000005,scratch/pod1d_no_access_pairwise_2mb_full_ps/test01_tp_all_gather/case02_host_l1_lane_down/output/task_statistics.csv
test01_tp_all_gather,case03_host_l1_port_down,POD_LOCAL,2,41.05605,41.05605,4904.8956,4904.8956,scratch/pod1d_no_access_pairwise_2mb_full_ps/test01_tp_all_gather/case03_host_l1_port_down/output/task_statistics.csv
test01_tp_all_gather,case04_l1_l2_lane_down,NONE,2,39.23824,39.23824,5132.1852,5132.1852,scratch/pod1d_no_access_pairwise_2mb_full_ps/test01_tp_all_gather/case04_l1_l2_lane_down/output/task_statistics.csv
test01_tp_all_gather,case05_l1_l2_port_down,NONE,2,39.23824,39.23824,5132.1852,5132.1852,scratch/pod1d_no_access_pairwise_2mb_full_ps/test01_tp_all_gather/case05_l1_l2_port_down/output/task_statistics.csv
test02_cp_all_to_all,case01_standard,NONE,12,206.835275,206.36194091666667,1703.4743,1707.3851083333332,scratch/pod1d_no_access_pairwise_2mb_full_ps/test02_cp_all_to_all/case01_standard/output/task_statistics.csv
test02_cp_all_to_all,case02_host_l1_lane_down,POD_LOCAL,12,215.021448,209.7204715,1638.6176,1681.0150166666665,scratch/pod1d_no_access_pairwise_2mb_full_ps/test02_cp_all_to_all/case02_host_l1_lane_down/output/task_statistics.csv
test02_cp_all_to_all,case03_host_l1_port_down,POD_LOCAL,12,216.736112,209.732179,1625.6534,1683.5426416666667,scratch/pod1d_no_access_pairwise_2mb_full_ps/test02_cp_all_to_all/case03_host_l1_port_down/output/task_statistics.csv
test02_cp_all_to_all,case04_l1_l2_lane_down,NONE,12,206.835275,206.36194091666667,1703.4743,1707.3851083333332,scratch/pod1d_no_access_pairwise_2mb_full_ps/test02_cp_all_to_all/case04_l1_l2_lane_down/output/task_statistics.csv
test02_cp_all_to_all,case05_l1_l2_port_down,NONE,12,206.835275,206.36194091666667,1703.4743,1707.3851083333332,scratch/pod1d_no_access_pairwise_2mb_full_ps/test02_cp_all_to_all/case05_l1_l2_port_down/output/task_statistics.csv
