test,variant,rc,elapsed_s,stats_exists,tasks,max_complete_us,avg_complete_us,min_throughput_Gbps,avg_throughput_Gbps,log,stats
test01_tp_all_gather,case01_standard,0,15.0,True,2,39.156069,39.156069,5142.9581,5142.9581,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test01_tp_all_gather__case01_standard.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test01_tp_all_gather/case01_standard/output/task_statistics.csv
test01_tp_all_gather,case02_host_l1_lane_down,0,15.0,True,2,78.370828,78.315432,2569.2249,2571.0437,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test01_tp_all_gather__case02_host_l1_lane_down.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test01_tp_all_gather/case02_host_l1_lane_down/output/task_statistics.csv
test01_tp_all_gather,case03_host_l1_port_down,0,15.0,True,2,42.791373,42.732186,4705.9404,4712.4690,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test01_tp_all_gather__case03_host_l1_port_down.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test01_tp_all_gather/case03_host_l1_port_down/output/task_statistics.csv
test01_tp_all_gather,case04_l1_l2_lane_down,0,15.0,True,2,39.156069,39.156069,5142.9581,5142.9581,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test01_tp_all_gather__case04_l1_l2_lane_down.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test01_tp_all_gather/case04_l1_l2_lane_down/output/task_statistics.csv
test01_tp_all_gather,case05_l1_l2_port_down,0,15.0,True,2,39.156069,39.156069,5142.9581,5142.9581,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test01_tp_all_gather__case05_l1_l2_port_down.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test01_tp_all_gather/case05_l1_l2_port_down/output/task_statistics.csv
test02_cp_all_to_all,case01_standard,0,15.0,True,12,216.416953,214.816495,1628.0509,1640.2523,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test02_cp_all_to_all__case01_standard.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test02_cp_all_to_all/case01_standard/output/task_statistics.csv
test02_cp_all_to_all,case02_host_l1_lane_down,0,30.0,True,12,411.125730,318.243725,856.9887,1181.0893,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test02_cp_all_to_all__case02_host_l1_lane_down.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test02_cp_all_to_all/case02_host_l1_lane_down/output/task_statistics.csv
test02_cp_all_to_all,case03_host_l1_port_down,0,30.0,True,12,224.050090,218.002695,1572.5825,1617.0691,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test02_cp_all_to_all__case03_host_l1_port_down.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test02_cp_all_to_all/case03_host_l1_port_down/output/task_statistics.csv
test02_cp_all_to_all,case04_l1_l2_lane_down,0,15.0,True,12,216.416953,214.816495,1628.0509,1640.2523,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test02_cp_all_to_all__case04_l1_l2_lane_down.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test02_cp_all_to_all/case04_l1_l2_lane_down/output/task_statistics.csv
test02_cp_all_to_all,case05_l1_l2_port_down,0,15.0,True,12,216.416953,214.816495,1628.0509,1640.2523,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test02_cp_all_to_all__case05_l1_l2_port_down.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test02_cp_all_to_all/case05_l1_l2_port_down/output/task_statistics.csv
test03_tp_reduce_scatter,case01_standard,0,15.0,True,2,182.654834,182.647085,5143.9949,5144.2131,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/rollback_verify_20260702_160439/test03_tp_reduce_scatter__case01_standard.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test03_tp_reduce_scatter/case01_standard/output/task_statistics.csv
