nodeId1,portId1,nodeId2,portId2,bandwidth,delay
0,0,1368,0,112Gbps,20ns
0,1,1369,0,112Gbps,20ns
0,2,1370,0,112Gbps,20ns
0,3,1371,0,112Gbps,20ns
0,4,1372,0,112Gbps,20ns
0,5,1373,0,112Gbps,20ns
0,6,1374,0,112Gbps,20ns
0,7,1375,0,112Gbps,20ns
0,8,1376,0,112Gbps,20ns
0,9,1377,0,112Gbps,20ns
0,10,1378,0,112Gbps,20ns
0,11,1379,0,112Gbps,20ns
0,12,1380,0,112Gbps,20ns
0,13,1381,0,112Gbps,20ns
0,14,1382,0,112Gbps,20ns
0,15,1383,0,112Gbps,20ns
0,16,1384,0,112Gbps,20ns
0,17,1385,0,112Gbps,20ns
0,18,1386,0,112Gbps,20ns
0,19,1387,0,112Gbps,20ns
0,20,1388,0,112Gbps,20ns
0,21,1389,0,112Gbps,20ns
0,22,1390,0,112Gbps,20ns
0,23,1391,0,112Gbps,20ns
1,0,1368,1,112Gbps,20ns
1,1,1369,1,112Gbps,20ns
1,2,1370,1,112Gbps,20ns
1,3,1371,1,112Gbps,20ns
1,4,1372,1,112Gbps,20ns
1,5,1373,1,112Gbps,20ns
1,6,1374,1,112Gbps,20ns
1,7,1375,1,112Gbps,20ns
1,8,1376,1,112Gbps,20ns
1,9,1377,1,112Gbps,20ns
1,10,1378,1,112Gbps,20ns
1,11,1379,1,112Gbps,20ns
1,12,1380,1,112Gbps,20ns
1,13,1381,1,112Gbps,20ns
1,14,1382,1,112Gbps,20ns
1,15,1383,1,112Gbps,20ns
1,16,1384,1,112Gbps,20ns
1,17,1385,1,112Gbps,20ns
1,18,1386,1,112Gbps,20ns
1,19,1387,1,112Gbps,20ns
1,20,1388,1,112Gbps,20ns
1,21,1389,1,112Gbps,20ns
1,22,1390,1,112Gbps,20ns
1,23,1391,1,112Gbps,20ns
2,0,1368,2,112Gbps,20ns
2,1,1369,2,112Gbps,20ns
2,2,1370,2,112Gbps,20ns
2,3,1371,2,112Gbps,20ns
2,4,1372,2,112Gbps,20ns
2,5,1373,2,112Gbps,20ns
2,6,1374,2,112Gbps,20ns
2,7,1375,2,112Gbps,20ns
2,8,1376,2,112Gbps,20ns
2,9,1377,2,112Gbps,20ns
2,10,1378,2,112Gbps,20ns
2,11,1379,2,112Gbps,20ns
2,12,1380,2,112Gbps,20ns
2,13,1381,2,112Gbps,20ns
2,14,1382,2,112Gbps,20ns
2,15,1383,2,112Gbps,20ns
2,16,1384,2,112Gbps,20ns
2,17,1385,2,112Gbps,20ns
2,18,1386,2,112Gbps,20ns
2,19,1387,2,112Gbps,20ns
2,20,1388,2,112Gbps,20ns
2,21,1389,2,112Gbps,20ns
2,22,1390,2,112Gbps,20ns
2,23,1391,2,112Gbps,20ns
3,0,1368,3,112Gbps,20ns
3,1,1369,3,112Gbps,20ns
3,2,1370,3,112Gbps,20ns
3,3,1371,3,112Gbps,20ns
3,4,1372,3,112Gbps,20ns
3,5,1373,3,112Gbps,20ns
3,6,1374,3,112Gbps,20ns
3,7,1375,3,112Gbps,20ns
3,8,1376,3,112Gbps,20ns
3,9,1377,3,112Gbps,20ns
3,10,1378,3,112Gbps,20ns
3,11,1379,3,112Gbps,20ns
3,12,1380,3,112Gbps,20ns
3,13,1381,3,112Gbps,20ns
3,14,1382,3,112Gbps,20ns
3,15,1383,3,112Gbps,20ns
3,16,1384,3,112Gbps,20ns
3,17,1385,3,112Gbps,20ns
3,18,1386,3,112Gbps,20ns
3,19,1387,3,112Gbps,20ns
3,20,1388,3,112Gbps,20ns
3,21,1389,3,112Gbps,20ns
3,22,1390,3,112Gbps,20ns
3,23,1391,3,112Gbps,20ns
4,0,1368,4,112Gbps,20ns
4,1,1369,4,112Gbps,20ns
4,2,1370,4,112Gbps,20ns
4,3,1371,4,112Gbps,20ns
4,4,1372,4,112Gbps,20ns
4,5,1373,4,112Gbps,20ns
4,6,1374,4,112Gbps,20ns
4,7,1375,4,112Gbps,20ns
4,8,1376,4,112Gbps,20ns
4,9,1377,4,112Gbps,20ns
4,10,1378,4,112Gbps,20ns
4,11,1379,4,112Gbps,20ns
4,12,1380,4,112Gbps,20ns
4,13,1381,4,112Gbps,20ns
4,14,1382,4,112Gbps,20ns
4,15,1383,4,112Gbps,20ns
4,16,1384,4,112Gbps,20ns
4,17,1385,4,112Gbps,20ns
4,18,1386,4,112Gbps,20ns
4,19,1387,4,112Gbps,20ns
4,20,1388,4,112Gbps,20ns
4,21,1389,4,112Gbps,20ns
4,22,1390,4,112Gbps,20ns
4,23,1391,4,112Gbps,20ns
5,0,1368,5,112Gbps,20ns
5,1,1369,5,112Gbps,20ns
5,2,1370,5,112Gbps,20ns
5,3,1371,5,112Gbps,20ns
5,4,1372,5,112Gbps,20ns
5,5,1373,5,112Gbps,20ns
5,6,1374,5,112Gbps,20ns
5,7,1375,5,112Gbps,20ns
5,8,1376,5,112Gbps,20ns
5,9,1377,5,112Gbps,20ns
5,10,1378,5,112Gbps,20ns
5,11,1379,5,112Gbps,20ns
5,12,1380,5,112Gbps,20ns
5,13,1381,5,112Gbps,20ns
5,14,1382,5,112Gbps,20ns
5,15,1383,5,112Gbps,20ns
5,16,1384,5,112Gbps,20ns
5,17,1385,5,112Gbps,20ns
5,18,1386,5,112Gbps,20ns
5,19,1387,5,112Gbps,20ns
5,20,1388,5,112Gbps,20ns
5,21,1389,5,112Gbps,20ns
5,22,1390,5,112Gbps,20ns
5,23,1391,5,112Gbps,20ns
6,0,1368,6,112Gbps,20ns
6,1,1369,6,112Gbps,20ns
6,2,1370,6,112Gbps,20ns
6,3,1371,6,112Gbps,20ns
6,4,1372,6,112Gbps,20ns
6,5,1373,6,112Gbps,20ns
6,6,1374,6,112Gbps,20ns
6,7,1375,6,112Gbps,20ns
6,8,1376,6,112Gbps,20ns
6,9,1377,6,112Gbps,20ns
6,10,1378,6,112Gbps,20ns
6,11,1379,6,112Gbps,20ns
6,12,1380,6,112Gbps,20ns
6,13,1381,6,112Gbps,20ns
6,14,1382,6,112Gbps,20ns
6,15,1383,6,112Gbps,20ns
6,16,1384,6,112Gbps,20ns
