stat rdma operate:
phase
Type:rdma_send, src_node:0, src_port:0, dst_node:684, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:1, src_port:0, dst_node:685, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:2, src_port:0, dst_node:686, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:3, src_port:0, dst_node:687, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:4, src_port:0, dst_node:688, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:5, src_port:0, dst_node:689, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:6, src_port:0, dst_node:690, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:7, src_port:0, dst_node:691, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:8, src_port:0, dst_node:692, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:9, src_port:0, dst_node:693, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:10, src_port:0, dst_node:694, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:11, src_port:0, dst_node:695, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:12, src_port:0, dst_node:696, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:13, src_port:0, dst_node:697, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:14, src_port:0, dst_node:698, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:15, src_port:0, dst_node:699, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:16, src_port:0, dst_node:700, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:17, src_port:0, dst_node:701, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:18, src_port:0, dst_node:702, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:19, src_port:0, dst_node:703, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:20, src_port:0, dst_node:704, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:21, src_port:0, dst_node:705, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:22, src_port:0, dst_node:706, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:23, src_port:0, dst_node:707, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:24, src_port:0, dst_node:708, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:25, src_port:0, dst_node:709, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:26, src_port:0, dst_node:710, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:27, src_port:0, dst_node:711, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:28, src_port:0, dst_node:712, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:29, src_port:0, dst_node:713, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:30, src_port:0, dst_node:714, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:31, src_port:0, dst_node:715, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:32, src_port:0, dst_node:716, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:33, src_port:0, dst_node:717, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:34, src_port:0, dst_node:718, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:35, src_port:0, dst_node:719, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:36, src_port:0, dst_node:720, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:37, src_port:0, dst_node:721, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:38, src_port:0, dst_node:722, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:39, src_port:0, dst_node:723, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:40, src_port:0, dst_node:724, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:41, src_port:0, dst_node:725, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:42, src_port:0, dst_node:726, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:43, src_port:0, dst_node:727, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:44, src_port:0, dst_node:728, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:45, src_port:0, dst_node:729, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:46, src_port:0, dst_node:730, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:47, src_port:0, dst_node:731, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:48, src_port:0, dst_node:732, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:49, src_port:0, dst_node:733, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:50, src_port:0, dst_node:734, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:51, src_port:0, dst_node:735, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:52, src_port:0, dst_node:736, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:53, src_port:0, dst_node:737, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:54, src_port:0, dst_node:738, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:55, src_port:0, dst_node:739, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:56, src_port:0, dst_node:740, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:57, src_port:0, dst_node:741, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:58, src_port:0, dst_node:742, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:59, src_port:0, dst_node:743, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:60, src_port:0, dst_node:744, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:61, src_port:0, dst_node:745, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:62, src_port:0, dst_node:746, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:63, src_port:0, dst_node:747, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:64, src_port:0, dst_node:748, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:65, src_port:0, dst_node:749, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:66, src_port:0, dst_node:750, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:67, src_port:0, dst_node:751, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:68, src_port:0, dst_node:752, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:69, src_port:0, dst_node:753, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:70, src_port:0, dst_node:754, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:71, src_port:0, dst_node:755, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:72, src_port:0, dst_node:756, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:73, src_port:0, dst_node:757, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:74, src_port:0, dst_node:758, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:75, src_port:0, dst_node:759, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:76, src_port:0, dst_node:760, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:77, src_port:0, dst_node:761, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:78, src_port:0, dst_node:762, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:79, src_port:0, dst_node:763, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:80, src_port:0, dst_node:764, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:81, src_port:0, dst_node:765, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:82, src_port:0, dst_node:766, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:83, src_port:0, dst_node:767, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:84, src_port:0, dst_node:768, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:85, src_port:0, dst_node:769, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:86, src_port:0, dst_node:770, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:87, src_port:0, dst_node:771, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:88, src_port:0, dst_node:772, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:89, src_port:0, dst_node:773, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:90, src_port:0, dst_node:774, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:91, src_port:0, dst_node:775, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:92, src_port:0, dst_node:776, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:93, src_port:0, dst_node:777, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:94, src_port:0, dst_node:778, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:95, src_port:0, dst_node:779, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:96, src_port:0, dst_node:780, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:97, src_port:0, dst_node:781, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:98, src_port:0, dst_node:782, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:99, src_port:0, dst_node:783, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:100, src_port:0, dst_node:784, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:101, src_port:0, dst_node:785, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:102, src_port:0, dst_node:786, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:103, src_port:0, dst_node:787, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:104, src_port:0, dst_node:788, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:105, src_port:0, dst_node:789, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:106, src_port:0, dst_node:790, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:107, src_port:0, dst_node:791, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:108, src_port:0, dst_node:792, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:109, src_port:0, dst_node:793, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:110, src_port:0, dst_node:794, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:111, src_port:0, dst_node:795, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:112, src_port:0, dst_node:796, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:113, src_port:0, dst_node:797, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:114, src_port:0, dst_node:798, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:115, src_port:0, dst_node:799, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:116, src_port:0, dst_node:800, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:117, src_port:0, dst_node:801, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:118, src_port:0, dst_node:802, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:119, src_port:0, dst_node:803, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:120, src_port:0, dst_node:804, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:121, src_port:0, dst_node:805, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:122, src_port:0, dst_node:806, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:123, src_port:0, dst_node:807, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:124, src_port:0, dst_node:808, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:125, src_port:0, dst_node:809, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:126, src_port:0, dst_node:810, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:127, src_port:0, dst_node:811, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:128, src_port:0, dst_node:812, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:129, src_port:0, dst_node:813, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:130, src_port:0, dst_node:814, dst_port:0, priority:7, msg_len:8388608
Type:rdma_send, src_node:131, src_port:0, dst_node:815, dst_port:0, priority:7, msg_len:8388608
